Date,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Label,Description,TxHash
2021-12-22 17:12:13 UTC,0.100,Jewel,,,0,USD,1.312701973745919836744633358,usd,cost,NFT 24170 levelup,0x4cc1ea7a9db83d149e0520e3e4413b925b8cc6d781fe0454b5cc38a5b243a4fe,
2021-12-22 17:15:16 UTC,1,Shvas Rune,,,0.001494837937398794890100361954,USD,21.43613159383564337190364313,usd,cost,NFT 30179 meditate,0x16092419aa3ea5b32825a73ade80b7214fc80ce79a1876bf8d2895bcaccb2b43,
2021-12-22 17:15:16 UTC,0.100,Jewel,,,0,USD,1.312701973745919836744633358,usd,cost,NFT 30179 levelup,0x16092419aa3ea5b32825a73ade80b7214fc80ce79a1876bf8d2895bcaccb2b43,
2021-12-22 17:19:03 UTC,1,Shvas Rune,,,0.001494809149178451599833117314,USD,21.43613159383564337190364313,usd,cost,NFT 30532 meditate,0x745d9db738afb4ce965b926a062d1ba3b2355522ba1ca88c9afc608be3bcd66d,
2021-12-22 17:19:03 UTC,0.100,Jewel,,,0,USD,1.312701973745919836744633358,usd,cost,NFT 30532 levelup,0x745d9db738afb4ce965b926a062d1ba3b2355522ba1ca88c9afc608be3bcd66d,
2021-12-22 17:23:04 UTC,1,Shvas Rune,,,0.001494837937398794890100361954,USD,21.43613159383564337190364313,usd,cost,NFT 32898 meditate,0xad08bb3bb23fceb4a8999ed5af2027c4375886e5bbbe947059a65aa81f0ead86,
2021-12-22 17:23:04 UTC,0.100,Jewel,,,0,USD,1.312701973745919836744633358,usd,cost,NFT 32898 levelup,0xad08bb3bb23fceb4a8999ed5af2027c4375886e5bbbe947059a65aa81f0ead86,
2021-12-22 17:27:00 UTC,1,Shvas Rune,,,0.001494837937398794890100361954,USD,21.43613159383564337190364313,usd,cost,NFT 38442 meditate,0x1601a307e258cc9d1ab43e94dc1e9484032f4cba688ed12c00a9a86d45534317,
2021-12-22 17:27:00 UTC,0.100,Jewel,,,0,USD,1.312701973745919836744633358,usd,cost,NFT 38442 levelup,0x1601a307e258cc9d1ab43e94dc1e9484032f4cba688ed12c00a9a86d45534317,
2021-12-22 17:29:27 UTC,1,Shvas Rune,,,0.001494809149178451599833117314,USD,21.43613159383564337190364313,usd,cost,NFT 38662 meditate,0x2f06efdbdefb590899659f049dd7ecc2a57fdc158e313d0db963d7b23646194d,
2021-12-22 17:29:27 UTC,0.100,Jewel,,,0,USD,1.312701973745919836744633358,usd,cost,NFT 38662 levelup,0x2f06efdbdefb590899659f049dd7ecc2a57fdc158e313d0db963d7b23646194d,
2021-12-22 17:33:11 UTC,1,Shvas Rune,,,0.002989675874797589780200723908,USD,21.43613159383564337190364313,usd,cost,NFT 39249 meditate,0xfcf20eaa6141bc706f3cd9ec43ced66957bca3999ce0fc7138db90d379d65125,
2021-12-22 17:33:11 UTC,0.100,Jewel,,,0,USD,1.312701973745919836744633358,usd,cost,NFT 39249 levelup,0xfcf20eaa6141bc706f3cd9ec43ced66957bca3999ce0fc7138db90d379d65125,
2021-12-22 17:35:28 UTC,1,Shvas Rune,,,0.001494809149178451599833117314,USD,21.43613159383564337190364313,usd,cost,NFT 44341 meditate,0x67cccdb75f170bed8d351a9dbd1708b80b67856d7d8d1f194be8cc60b33d9345,
2021-12-22 17:35:28 UTC,0.100,Jewel,,,0,USD,1.312701973745919836744633358,usd,cost,NFT 44341 levelup,0x67cccdb75f170bed8d351a9dbd1708b80b67856d7d8d1f194be8cc60b33d9345,
2021-12-22 17:40:09 UTC,1,Shvas Rune,,,0.001494837937398794890100361954,USD,21.43613159383564337190364313,usd,cost,NFT 40885 meditate,0xe9912fd643ce5ba601b8c2da54d719d87f1f21c73172b879233ebe1d504f4c56,
2021-12-22 17:40:09 UTC,0.100,Jewel,,,0,USD,1.312701973745919836744633358,usd,cost,NFT 40885 levelup,0xe9912fd643ce5ba601b8c2da54d719d87f1f21c73172b879233ebe1d504f4c56,
2021-12-22 17:41:59 UTC,1,Shvas Rune,,,0.001494837937398794890100361954,USD,21.43613159383564337190364313,usd,cost,NFT 44757 meditate,0x4045bfa7e26061afdd8e5ebfbf9173f35410bb316884d10db4ddd91b0e42b094,
2021-12-22 17:41:59 UTC,0.100,Jewel,,,0,USD,1.312701973745919836744633358,usd,cost,NFT 44757 levelup,0x4045bfa7e26061afdd8e5ebfbf9173f35410bb316884d10db4ddd91b0e42b094,
